epoch,step,train/loss,train_mae_epoch,train_mape_epoch,train_msle_epoch,train_msqe_epoch,val/loss,val_mae_epoch,val_mape_epoch,val_msle_epoch,val_msqe_epoch
23,4849,18282.08984375,,,,,,,,,
23,4899,26480.48046875,,,,,,,,,
23,4919,,,,,,24347.125,116.8658218383789,4.621926307678223,nan,24882.109375
23,4919,,117.66572570800781,4.938478946685791,nan,25058.357421875,,,,,
24,4949,14870.025390625,,,,,,,,,
24,4999,14005.150390625,,,,,,,,,
24,5049,14763.677734375,,,,,,,,,
24,5099,21807.80078125,,,,,,,,,
24,5124,,,,,,24611.302734375,116.9686050415039,4.645508289337158,nan,24871.2890625
24,5124,,117.58875274658203,4.934871196746826,nan,25027.9375,,,,,
25,5149,33239.40625,,,,,,,,,
25,5199,19176.21875,,,,,,,,,
25,5249,20069.23046875,,,,,,,,,
25,5299,14269.2919921875,,,,,,,,,
25,5329,,,,,,24356.173828125,116.93333435058594,4.65048885345459,nan,24851.49609375
25,5329,,117.54322814941406,4.932213306427002,nan,25005.98828125,,,,,
26,5349,31854.873046875,,,,,,,,,
26,5399,50396.109375,,,,,,,,,
26,5449,18232.521484375,,,,,,,,,
26,5499,20908.75,,,,,,,,,
26,5534,,,,,,24427.275390625,116.96449279785156,4.662883281707764,nan,24835.802734375
26,5534,,117.48006439208984,4.929784774780273,nan,24978.013671875,,,,,
27,5549,42475.3203125,,,,,,,,,
27,5599,29388.4296875,,,,,,,,,
27,5649,17374.458984375,,,,,,,,,
27,5699,18272.87890625,,,,,,,,,
27,5739,,,,,,24489.349609375,116.98957061767578,4.670284748077393,nan,24823.4375
27,5739,,117.4280776977539,4.928689479827881,nan,24954.931640625,,,,,
28,5749,20779.83203125,,,,,,,,,
28,5799,36887.4765625,,,,,,,,,
28,5849,23934.142578125,,,,,,,,,
28,5899,26705.734375,,,,,,,,,
28,5944,,,,,,24495.720703125,117.05319213867188,4.686484336853027,nan,24812.150390625
28,5944,,117.37332153320312,4.924350738525391,nan,24935.302734375,,,,,
29,5949,26443.521484375,,,,,,,,,
29,5999,18928.337890625,,,,,,,,,
29,6049,39281.54296875,,,,,,,,,
29,6099,25097.4296875,,,,,,,,,
29,6149,7416.38232421875,,,,,,,,,
29,6149,,,,,,24417.962890625,117.08599090576172,4.697741985321045,nan,24799.015625
29,6149,,117.31901550292969,4.921950817108154,nan,24911.724609375,,,,,
30,6199,18761.876953125,,,,,,,,,
30,6249,19327.701171875,,,,,,,,,
30,6299,11099.892578125,,,,,,,,,
30,6349,39550.6328125,,,,,,,,,
30,6354,,,,,,24323.716796875,117.0096664428711,4.691964149475098,nan,24783.705078125
30,6354,,117.279296875,4.9204487800598145,nan,24892.78515625,,,,,
31,6399,20955.130859375,,,,,,,,,
31,6449,15098.05859375,,,,,,,,,
31,6499,21344.310546875,,,,,,,,,
31,6549,27949.693359375,,,,,,,,,
31,6559,,,,,,24340.291015625,116.99564361572266,4.696649551391602,nan,24769.857421875
31,6559,,117.23892974853516,4.919457912445068,nan,24874.4921875,,,,,
32,6599,23363.546875,,,,,,,,,
32,6649,28093.759765625,,,,,,,,,
32,6699,27603.9921875,,,,,,,,,
32,6749,19533.9609375,,,,,,,,,
32,6764,,,,,,24351.5234375,116.98614501953125,4.700096607208252,nan,24757.19140625
32,6764,,117.19119262695312,4.916952133178711,nan,24856.2578125,,,,,
33,6799,24342.03125,,,,,,,,,
33,6849,10276.9521484375,,,,,,,,,
33,6899,18827.45703125,,,,,,,,,
33,6949,21204.9921875,,,,,,,,,
33,6969,,,,,,24311.9140625,117.00028228759766,4.709319591522217,nan,24744.103515625
33,6969,,117.14456176757812,4.914770126342773,nan,24839.416015625,,,,,
34,6999,20110.37109375,,,,,,,,,
34,7049,31783.3828125,,,,,,,,,
34,7099,27113.5703125,,,,,,,,,
34,7149,13525.6171875,,,,,,,,,
34,7174,,,,,,24289.05859375,116.99848937988281,4.714840888977051,nan,24731.115234375
34,7174,,117.11048126220703,4.912781238555908,nan,24823.953125,,,,,
35,7199,30956.86328125,,,,,,,,,
35,7249,13501.201171875,,,,,,,,,
35,7299,45440.0625,,,,,,,,,
35,7349,11070.4072265625,,,,,,,,,
35,7379,,,,,,24250.1796875,116.93738555908203,4.710933685302734,nan,24717.7734375
35,7379,,117.06856536865234,4.910860061645508,nan,24807.357421875,,,,,
36,7399,18136.314453125,,,,,,,,,
36,7449,27440.482421875,,,,,,,,,
36,7499,22379.642578125,,,,,,,,,
36,7549,33961.5546875,,,,,,,,,
36,7584,,,,,,24640.37890625,116.8316650390625,4.696020126342773,nan,24715.68359375
36,7584,,117.0291976928711,4.909033298492432,nan,24790.40625,,,,,
37,7599,19041.10546875,,,,,,,,,
37,7649,22646.970703125,,,,,,,,,
37,7699,36311.59765625,,,,,,,,,
37,7749,31196.1953125,,,,,,,,,
37,7789,,,,,,24328.0390625,116.76606750488281,4.6897664070129395,nan,24705.484375
37,7789,,116.99178314208984,4.908082962036133,nan,24778.029296875,,,,,
38,7799,28255.560546875,,,,,,,,,
38,7849,17675.74609375,,,,,,,,,
38,7899,25613.974609375,,,,,,,,,
38,7949,28905.94140625,,,,,,,,,
38,7994,,,,,,24630.150390625,116.83757019042969,4.70206356048584,nan,24703.556640625
38,7994,,116.95162963867188,4.905858516693115,nan,24763.5703125,,,,,
39,7999,33797.7109375,,,,,,,,,
39,8049,36852.01953125,,,,,,,,,
39,8099,18312.3046875,,,,,,,,,
39,8149,17552.80859375,,,,,,,,,
39,8199,25500.380859375,,,,,,,,,
39,8199,,,,,,24298.697265625,116.76190185546875,4.694159030914307,nan,24693.447265625
39,8199,,116.92524719238281,4.905586242675781,nan,24750.37109375,,,,,
40,8200,,,,,,24298.697265625,116.6899185180664,4.686639308929443,nan,24683.82421875
