season,holiday,workingday,weather,temp,humidity,windspeed
4,0,1,1,20.5,77,7.0015
4,0,1,3,22.14,68,0.0
1,0,1,1,8.2,75,23.9994
4,0,0,1,17.22,50,19.0012
1,0,1,1,9.02,47,0.0
2,0,0,2,18.04,77,0.0
1,0,0,1,12.3,70,0.0
1,0,0,1,9.02,69,0.0
3,0,1,1,37.72,33,16.9979
3,0,1,1,30.34,62,19.0012
3,0,0,1,28.7,61,15.0013
1,0,1,1,13.94,46,11.0014
4,0,1,1,13.12,93,0.0
3,0,1,1,27.06,83,8.9981
4,0,1,1,28.7,51,15.0013
4,0,1,2,18.04,72,15.0013
2,0,0,1,26.24,36,0.0
3,0,1,1,31.98,59,19.9995
4,0,1,2,14.76,87,11.0014
2,0,1,1,13.94,46,22.0028
4,0,0,1,18.04,54,0.0
2,0,1,2,20.5,42,19.0012
2,0,1,1,16.4,37,16.9979
3,0,1,2,27.88,65,0.0
3,0,0,1,28.7,84,15.0013
4,0,1,1,6.56,80,11.0014
2,0,1,1,27.06,61,16.9979
2,0,1,1,30.34,23,40.9973
4,0,0,2,14.76,93,8.9981
4,0,1,3,22.96,64,7.0015
2,0,1,1,30.34,66,8.9981
2,0,1,2,22.14,88,11.0014
2,0,1,1,20.5,94,0.0
2,0,1,1,22.14,94,8.9981
1,0,1,1,24.6,31,16.9979
3,0,1,2,27.06,57,15.0013
4,0,1,2,18.86,100,16.9979
4,0,0,1,22.96,73,7.0015
4,0,0,2,13.12,49,19.9995
1,0,1,2,9.84,93,6.0032
2,0,1,1,20.5,55,15.0013
1,0,1,1,6.56,37,27.9993
4,0,1,1,13.12,81,6.0032
4,0,1,3,18.04,100,12.998
1,0,1,1,13.12,61,11.0014
1,1,0,2,7.38,43,12.998
3,0,1,1,28.7,70,12.998
2,0,1,1,13.94,53,23.9994
4,0,1,1,9.02,55,19.9995
3,0,0,1,26.24,53,0.0
4,0,1,3,22.14,94,11.0014
1,0,1,2,15.58,46,8.9981
2,0,0,1,25.42,43,15.0013
1,0,1,1,10.66,52,6.0032
2,0,1,2,20.5,77,19.0012
2,0,1,1,20.5,34,11.0014
2,0,0,1,29.52,58,7.0015
1,0,1,1,9.02,51,15.0013
1,0,1,2,11.48,61,0.0
4,0,1,2,12.3,70,8.9981
4,0,1,3,14.76,87,23.9994
3,0,0,2,27.88,83,15.0013
3,1,0,1,27.06,89,6.0032
4,1,0,1,12.3,45,6.0032
4,0,0,1,18.04,44,19.0012
4,0,0,1,16.4,54,19.0012
2,0,0,1,25.42,57,0.0
4,0,0,1,10.66,60,19.0012
3,0,0,2,19.68,67,15.0013
4,0,1,2,12.3,49,19.0012
1,0,1,1,10.66,48,30.0026
1,0,1,2,9.02,73,7.0015
2,0,1,2,22.14,83,0.0
3,0,1,3,25.42,94,11.0014
2,0,1,1,24.6,83,6.0032
3,0,1,1,21.32,59,7.0015
2,0,1,1,18.86,63,15.0013
3,0,1,1,25.42,73,7.0015
2,0,1,2,21.32,72,16.9979
4,0,1,2,22.14,88,26.0027
1,0,1,1,9.84,38,7.0015
1,0,1,1,18.86,24,16.9979
4,0,1,2,12.3,65,12.998
3,0,0,1,31.98,55,12.998
2,0,0,2,12.3,87,15.0013
4,0,1,1,9.84,65,12.998
4,0,0,2,14.76,46,19.0012
4,0,0,2,17.22,82,12.998
4,0,1,1,15.58,46,26.0027
2,0,1,1,27.06,39,15.0013
4,0,1,1,8.2,75,6.0032
4,0,1,1,17.22,41,6.0032
3,0,0,2,22.96,73,12.998
3,0,0,1,25.42,88,7.0015
1,0,1,1,13.94,34,6.0032
2,0,1,1,15.58,76,16.9979
2,0,1,3,21.32,77,11.0014
1,0,0,1,7.38,55,0.0
1,0,1,2,13.12,66,12.998
3,0,1,1,27.88,65,11.0014
4,0,1,1,18.86,63,8.9981
4,0,1,1,21.32,77,0.0
4,0,1,3,22.14,77,0.0
4,0,1,2,18.04,88,0.0
2,0,0,3,21.32,83,11.0014
4,0,1,2,14.76,71,11.0014
1,0,1,1,13.94,49,15.0013
4,0,0,1,16.4,62,19.9995
3,0,0,1,33.62,46,19.0012
3,0,0,1,30.34,60,15.0013
4,0,1,2,15.58,87,6.0032
4,0,1,2,24.6,69,0.0
3,0,1,1,30.34,58,8.9981
1,0,1,2,12.3,87,0.0
1,0,1,1,18.86,28,19.0012
1,0,0,1,16.4,35,23.9994
3,0,0,2,26.24,73,12.998
2,0,1,2,31.16,75,16.9979
1,0,0,1,6.56,37,36.9974
2,0,0,1,20.5,39,16.9979
3,0,1,1,35.26,30,0.0
1,0,0,1,19.68,39,22.0028
4,0,1,2,16.4,87,8.9981
2,0,1,1,21.32,88,8.9981
3,0,1,1,28.7,65,6.0032
4,0,1,1,10.66,60,19.9995
3,0,1,2,33.62,46,0.0
2,0,0,1,16.4,82,7.0015
3,0,1,2,30.34,51,15.0013
1,0,0,1,8.2,34,30.0026
2,0,1,3,18.04,94,8.9981
4,0,0,2,13.94,76,12.998
1,0,0,1,10.66,70,12.998
3,0,1,1,29.52,66,0.0
1,0,1,1,7.38,55,15.0013
1,0,0,3,18.86,59,16.9979
1,0,1,3,13.12,93,11.0014
2,0,1,1,26.24,41,22.0028
2,0,0,1,24.6,46,6.0032
2,0,1,2,33.62,34,19.0012
3,0,1,1,33.62,41,15.0013
4,0,1,2,12.3,61,15.0013
1,0,1,1,7.38,64,8.9981
4,0,1,1,16.4,76,7.0015
3,0,1,1,31.16,52,16.9979
2,0,1,1,21.32,63,15.0013
3,0,1,1,28.7,79,7.0015
2,0,1,1,24.6,43,12.998
1,0,1,1,3.28,38,19.0012
2,1,0,2,14.76,81,12.998
1,0,1,1,8.2,55,15.0013
3,0,1,1,34.44,41,8.9981
1,0,1,1,15.58,40,0.0
4,0,1,1,24.6,69,15.0013
3,0,0,1,33.62,52,16.9979
3,0,1,2,27.88,89,6.0032
1,0,1,2,17.22,82,22.0028
4,0,1,2,20.5,77,6.0032
3,0,0,1,20.5,72,0.0
2,0,1,1,32.8,59,15.0013
1,0,1,1,8.2,40,30.0026
3,0,1,1,31.98,62,8.9981
4,0,0,1,28.7,54,7.0015
2,0,0,1,25.42,83,0.0
4,0,0,1,14.76,50,6.0032
1,0,0,3,4.92,50,32.9975
1,0,1,1,13.12,36,27.9993
1,0,0,1,16.4,40,12.998
2,0,1,2,22.96,68,7.0015
4,0,0,1,9.84,60,22.0028
1,0,1,2,16.4,87,16.9979
1,0,1,1,14.76,50,12.998
1,0,0,2,13.12,39,16.9979
3,0,1,2,27.06,69,15.0013
2,0,1,1,16.4,62,11.0014
1,0,0,1,9.84,60,8.9981
4,0,1,1,13.94,49,23.9994
3,0,0,1,18.86,72,8.9981
4,0,0,2,9.84,93,8.9981
3,0,0,2,26.24,83,12.998
4,0,0,1,15.58,40,11.0014
1,0,1,2,6.56,47,19.0012
4,0,1,2,16.4,40,32.9975
1,0,0,1,6.56,47,22.0028
3,0,0,2,33.62,52,0.0
1,0,1,1,4.1,46,16.9979
3,0,0,2,29.52,48,6.0032
3,0,1,1,29.52,45,15.0013
3,0,0,1,19.68,67,16.9979
3,0,0,3,29.52,79,6.0032
4,0,0,1,18.86,88,0.0
4,0,1,1,12.3,75,7.0015
2,0,0,2,22.14,56,11.0014
3,0,1,2,27.88,89,7.0015
4,0,1,1,14.76,57,19.9995
2,0,1,2,25.42,78,6.0032
4,0,0,1,24.6,46,7.0015
4,0,1,2,14.76,66,15.0013
4,0,1,1,15.58,82,0.0
1,0,1,1,7.38,47,16.9979
3,0,1,2,27.06,78,6.0032
2,1,0,1,17.22,77,26.0027
4,0,1,2,21.32,48,11.0014
1,0,1,1,9.02,69,11.0014
3,0,1,3,27.06,89,26.0027
2,0,1,1,28.7,28,19.0012
3,0,1,2,28.7,79,12.998
4,0,1,1,13.12,53,12.998
1,0,1,1,6.56,47,16.9979
4,0,1,2,24.6,94,12.998
4,0,1,1,18.86,82,11.0014
4,0,1,2,12.3,56,11.0014
1,0,0,2,18.86,94,12.998
4,0,1,1,16.4,37,22.0028
2,0,1,2,27.06,94,12.998
2,0,1,1,26.24,78,8.9981
4,0,1,2,13.12,66,11.0014
3,0,1,1,26.24,78,8.9981
3,0,1,1,32.8,59,15.0013
1,0,1,2,10.66,65,7.0015
2,0,1,1,26.24,47,11.0014
1,0,1,2,10.66,60,0.0
4,0,1,2,22.96,43,11.0014
4,0,1,2,24.6,100,0.0
2,0,0,1,13.12,61,11.0014
4,0,1,1,13.94,42,16.9979
3,0,1,1,31.16,62,8.9981
1,0,1,2,11.48,41,0.0
1,0,1,2,9.02,87,11.0014
1,0,1,1,12.3,24,0.0
4,0,1,2,13.12,49,19.9995
4,0,0,1,9.84,60,8.9981
3,0,1,1,36.9,31,19.9995
3,0,1,1,33.62,41,12.998
2,0,1,1,17.22,50,16.9979
2,0,0,3,28.7,61,19.9995
2,0,0,1,23.78,37,11.0014
3,0,0,1,28.7,89,11.0014
3,0,1,1,26.24,73,0.0
3,0,1,3,22.14,83,26.0027
2,0,1,2,26.24,69,19.0012
1,0,0,1,12.3,56,22.0028
2,0,0,1,11.48,70,6.0032
1,0,1,1,12.3,39,8.9981
2,0,1,1,25.42,61,15.0013
1,0,1,1,2.46,49,7.0015
4,1,0,1,12.3,42,23.9994
2,0,0,3,22.14,94,11.0014
2,0,0,1,22.14,16,22.0028
4,0,1,2,22.96,64,6.0032
2,0,1,1,22.14,68,0.0
2,0,1,1,20.5,77,19.9995
4,0,1,1,17.22,62,12.998
3,0,1,1,32.8,55,11.0014
4,0,1,1,14.76,57,12.998
2,0,1,1,20.5,31,19.9995
3,0,0,2,25.42,88,11.0014
4,0,1,1,16.4,37,16.9979
1,0,1,1,9.02,55,8.9981
4,0,1,1,12.3,81,0.0
4,0,1,1,13.94,81,15.0013
3,0,1,1,26.24,89,8.9981
3,0,1,2,29.52,79,12.998
2,0,0,1,14.76,53,23.9994
3,0,1,1,23.78,88,7.0015
4,0,1,2,13.94,76,19.0012
2,0,1,1,26.24,78,6.0032
4,0,1,1,12.3,56,0.0
4,0,0,1,23.78,60,16.9979
2,0,0,1,28.7,58,0.0
2,0,1,1,28.7,24,19.9995
4,0,0,1,19.68,36,19.0012
3,0,1,1,30.34,66,19.0012
2,0,1,3,17.22,88,6.0032
3,0,0,1,26.24,41,11.0014
1,0,1,1,9.02,75,7.0015
2,0,1,1,22.14,56,11.0014
3,0,1,2,25.42,94,0.0
4,0,1,1,13.12,87,0.0
1,0,0,2,6.56,43,36.9974
4,0,1,1,14.76,62,8.9981
1,1,0,1,12.3,36,19.9995
3,0,1,1,22.96,60,7.0015
3,0,1,3,37.72,35,23.9994
4,0,0,1,14.76,57,7.0015
2,0,1,1,26.24,33,16.9979
1,0,1,2,12.3,70,8.9981
4,0,0,1,10.66,56,16.9979
4,0,1,1,18.86,82,6.0032
3,0,1,2,28.7,84,11.0014
4,0,1,1,16.4,82,7.0015
2,0,1,1,20.5,63,7.0015
4,0,1,2,13.94,61,19.9995
2,0,0,2,16.4,82,6.0032
3,0,1,1,35.26,30,19.0012
1,0,1,1,8.2,40,12.998
1,0,1,1,17.22,77,11.0014
3,0,0,1,29.52,84,6.0032
2,0,1,1,29.52,42,0.0
3,0,1,2,28.7,74,11.0014
2,0,1,2,17.22,82,6.0032
3,0,1,2,22.96,64,8.9981
3,0,1,1,33.62,38,12.998
3,0,0,1,34.44,34,6.0032
1,0,0,1,8.2,40,11.0014
1,0,1,1,24.6,31,12.998
1,0,1,1,13.94,53,0.0
2,0,1,1,20.5,27,16.9979
4,0,1,1,18.04,82,15.0013
4,0,1,2,9.84,60,31.0009
2,0,0,1,29.52,62,8.9981
3,0,1,1,27.06,65,12.998
2,0,0,2,15.58,87,6.0032
4,0,1,1,9.84,65,19.0012
4,0,0,2,18.04,54,8.9981
1,0,1,2,6.56,69,0.0
2,0,1,1,25.42,50,0.0
1,0,1,1,13.12,57,6.0032
2,0,1,1,22.14,64,27.9993
4,0,0,1,13.94,81,6.0032
4,0,1,2,18.04,33,19.9995
4,0,1,1,14.76,46,16.9979
1,0,1,2,13.12,76,16.9979
2,0,1,1,23.78,64,12.998
4,0,1,2,22.14,88,0.0
1,0,1,1,29.52,37,26.0027
3,0,1,1,33.62,21,16.9979
2,0,1,1,32.8,55,11.0014
4,0,1,1,17.22,77,0.0
1,0,0,1,14.76,62,8.9981
3,0,1,1,30.34,55,16.9979
3,0,1,1,21.32,72,0.0
2,0,1,1,10.66,65,7.0015
4,0,0,1,17.22,94,0.0
3,0,0,1,25.42,69,26.0027
2,0,1,2,20.5,77,16.9979
3,0,1,2,33.62,46,16.9979
3,0,1,1,23.78,88,7.0015
1,0,1,1,5.74,50,12.998
3,0,1,1,24.6,38,15.0013
2,0,1,3,26.24,65,16.9979
3,0,1,1,27.06,83,0.0
4,0,0,1,8.2,75,11.0014
4,0,0,1,19.68,67,22.0028
4,0,0,1,10.66,65,12.998
3,0,1,1,28.7,79,7.0015
4,0,0,1,16.4,82,12.998
1,0,1,2,11.48,100,15.0013
2,0,1,2,12.3,93,15.0013
2,0,0,1,22.96,56,0.0
2,0,1,1,13.12,61,15.0013
1,0,0,2,12.3,52,0.0
2,0,1,1,25.42,21,11.0014
3,0,1,1,27.06,34,22.0028
4,0,1,2,22.96,83,19.0012
1,0,1,2,18.04,77,0.0
1,0,1,2,17.22,77,12.998
4,0,0,3,13.94,76,7.0015
1,0,1,2,8.2,59,6.0032
2,0,1,1,21.32,59,8.9981
3,0,0,1,22.14,73,11.0014
3,0,1,1,32.8,52,23.9994
4,0,1,1,11.48,56,12.998
3,0,0,1,32.8,49,19.9995
3,0,0,1,22.14,64,0.0
2,0,0,1,21.32,34,15.0013
4,0,1,1,22.96,46,7.0015
2,0,0,1,15.58,46,26.0027
4,0,0,1,20.5,88,7.0015
1,0,0,2,13.12,36,12.998
4,0,1,1,17.22,50,8.9981
3,0,1,1,29.52,74,12.998
1,0,1,1,22.96,40,8.9981
3,0,0,1,28.7,48,15.0013
4,0,1,3,24.6,69,26.0027
1,0,1,2,14.76,57,8.9981
3,0,1,1,28.7,58,11.0014
2,0,0,2,27.06,74,8.9981
3,0,1,2,29.52,66,6.0032
1,0,0,2,14.76,71,16.9979
1,0,0,2,18.86,94,12.998
2,0,1,1,32.8,43,16.9979
3,0,1,1,22.14,77,0.0
3,1,0,1,34.44,53,8.9981
2,0,1,2,21.32,94,19.9995
2,0,1,1,26.24,23,16.9979
2,0,1,3,22.96,88,7.0015
1,0,1,1,12.3,39,8.9981
2,0,0,1,27.88,36,22.0028
3,0,1,1,30.34,58,22.0028
4,0,0,1,18.04,67,15.0013
3,0,1,1,28.7,58,30.0026
4,0,1,1,10.66,75,0.0
3,0,0,3,30.34,70,0.0
1,0,1,1,9.84,48,8.9981
3,0,1,3,22.14,83,26.0027
1,0,1,1,9.84,60,0.0
4,0,1,2,10.66,70,11.0014
3,0,0,1,34.44,56,11.0014
4,0,1,1,17.22,58,7.0015
2,0,1,1,20.5,51,12.998
3,0,0,1,36.9,37,16.9979
1,0,1,1,13.12,49,6.0032
1,0,1,2,8.2,40,15.0013
3,0,0,2,24.6,69,23.9994
4,0,0,2,11.48,48,16.9979
4,0,0,1,26.24,44,6.0032
2,0,1,2,22.96,64,8.9981
2,1,0,1,26.24,53,22.0028
3,0,1,2,31.98,52,16.9979
1,0,1,2,9.02,69,0.0
2,0,1,3,25.42,69,19.0012
2,0,1,1,24.6,69,16.9979
4,0,0,1,16.4,40,15.0013
2,0,1,2,25.42,73,7.0015
3,0,0,2,26.24,73,7.0015
4,0,1,1,13.12,31,23.9994
2,0,0,1,23.78,64,12.998
4,0,0,1,20.5,29,23.9994
1,0,1,1,8.2,47,22.0028
4,0,1,1,5.74,93,7.0015
1,0,1,1,9.84,75,6.0032
1,0,1,1,16.4,58,16.9979
4,0,1,1,23.78,46,0.0
2,0,0,2,18.04,77,19.0012
1,0,0,1,14.76,71,0.0
2,0,0,1,22.96,52,0.0
1,0,1,1,6.56,50,22.0028
1,0,0,2,7.38,80,11.0014
3,0,1,1,18.86,63,22.0028
4,0,1,2,20.5,72,23.9994
1,0,1,1,12.3,61,19.9995
3,0,1,2,35.26,34,12.998
2,0,0,1,22.96,30,19.9995
4,0,1,1,10.66,81,23.9994
1,0,1,1,25.42,61,16.9979
2,0,1,1,18.86,94,19.0012
2,0,0,1,16.4,76,7.0015
1,0,1,1,27.06,36,19.9995
4,0,1,1,18.86,38,11.0014
2,0,0,1,27.06,69,7.0015
1,0,1,1,9.02,69,19.0012
3,0,1,1,31.16,66,16.9979
4,0,1,3,18.86,59,19.9995
2,0,1,1,19.68,23,0.0
2,0,0,2,15.58,94,6.0032
2,0,1,2,21.32,87,19.0012
3,0,1,1,30.34,74,6.0032
3,0,0,1,18.86,82,6.0032
2,0,1,1,24.6,73,16.9979
1,0,1,1,15.58,37,15.0013
4,0,1,1,13.12,53,15.0013
3,0,0,1,27.06,89,6.0032
4,0,0,1,16.4,62,19.0012
3,0,0,1,32.8,49,19.9995
3,0,0,1,23.78,94,6.0032
2,0,0,1,24.6,88,6.0032
4,0,1,1,20.5,72,22.0028
3,0,1,1,27.88,79,0.0
2,0,1,1,24.6,46,16.9979
2,0,1,1,20.5,68,0.0
3,0,1,1,32.8,41,11.0014
4,0,1,3,22.14,100,8.9981
2,0,1,2,29.52,51,15.0013
2,0,1,1,23.78,88,15.0013
2,0,1,1,24.6,64,22.0028
3,1,0,2,27.06,89,7.0015
4,0,0,1,18.86,63,27.9993
2,0,1,1,24.6,43,0.0
3,0,0,2,27.88,69,0.0
2,0,0,2,26.24,27,23.9994
2,0,1,2,17.22,77,6.0032
3,0,1,1,26.24,78,11.0014
1,0,0,1,12.3,52,16.9979
1,0,1,2,8.2,44,0.0
3,0,1,1,29.52,70,8.9981
2,0,1,1,17.22,38,27.9993
1,0,1,1,5.74,59,0.0
4,0,1,2,21.32,77,6.0032
2,0,1,1,17.22,58,23.9994
1,0,1,1,14.76,46,31.0009
1,0,1,1,18.04,62,16.9979
3,0,1,2,22.96,68,7.0015
1,0,1,1,18.04,77,7.0015
3,0,0,1,27.06,69,7.0015
4,0,1,1,22.14,39,22.0028
4,0,0,1,22.96,78,12.998
2,0,0,2,21.32,100,0.0
2,0,0,2,22.14,94,0.0
1,0,0,1,16.4,32,19.9995
1,0,1,2,8.2,44,0.0
3,0,1,2,26.24,89,0.0
2,0,1,1,21.32,40,22.0028
2,0,1,1,13.94,49,12.998
2,0,0,2,15.58,87,6.0032
2,0,1,1,28.7,54,31.0009
1,0,1,1,9.02,80,12.998
4,0,1,1,25.42,53,23.9994
